255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
562 0x232 0b1000110010  1202 0x4B2 0b10010110010  1842 0x732 0b11100110010   2482 0x9B2 0b100110110010  3122 0xC32 0b110000110010  3762 0xEB2 0b111010110010
563 0x233 0b1000110011  1203 0x4B3 0b10010110011  1843 0x733 0b11100110011   2483 0x9B3 0b100110110011  3123 0xC33 0b110000110011  3763 0xEB3 0b111010110011
564 0x234 0b1000110100  1204 0x4B4 0b10010110100  1844 0x734 0b11100110100   2484 0x9B4 0b100110110100  3124 0xC34 0b110000110100  3764 0xEB4 0b111010110100
565 0x235 0b1000110101  1205 0x4B5 0b10010110101  1845 0x735 0b11100110101   2485 0x9B5 0b100110110101  3125 0xC35 0b110000110101  3765 0xEB5 0b111010110101
566 0x236 0b1000110110  1206 0x4B6 0b10010110110  1846 0x736 0b11100110110   2486 0x9B6 0b100110110110  3126 0xC36 0b110000110110  3766 0xEB6 0b111010110110
567 0x237 0b1000110111  1207 0x4B7 0b10010110111  1847 0x737 0b11100110111   2487 0x9B7 0b100110110111  3127 0xC37 0b110000110111  3767 0xEB7 0b111010110111
568 0x238 0b1000111000  1208 0x4B8 0b10010111000  1848 0x738 0b11100111000   2488 0x9B8 0b100110111000  3128 0xC38 0b110000111000  3768 0xEB8 0b111010111000
569 0x239 0b1000111001  1209 0x4B9 0b10010111001  1849 0x739 0b11100111001   2489 0x9B9 0b100110111001  3129 0xC39 0b110000111001  3769 0xEB9 0b111010111001
570 0x23A 0b1000111010  1210 0x4BA 0b10010111010  1850 0x73A 0b11100111010   2490 0x9BA 0b100110111010  3130 0xC3A 0b110000111010  3770 0xEBA 0b111010111010
571 0x23B 0b1000111011  1211 0x4BB 0b10010111011  1851 0x73B 0b11100111011   2491 0x9BB 0b100110111011  3131 0xC3B 0b110000111011  3771 0xEBB 0b111010111011
572 0x23C 0b1000111100  1212 0x4BC 0b10010111100  1852 0x73C 0b11100111100   2492 0x9BC 0b100110111100  3132 0xC3C 0b110000111100  3772 0xEBC 0b111010111100
573 0x23D 0b1000111101  1213 0x4BD 0b10010111101  1853 0x73D 0b11100111101   2493 0x9BD 0b100110111101  3133 0xC3D 0b110000111101  3773 0xEBD 0b111010111101
574 0x23E 0b1000111110  1214 0x4BE 0b10010111110  1854 0x73E 0b11100111110   2494 0x9BE 0b100110111110  3134 0xC3E 0b110000111110  3774 0xEBE 0b111010111110
575 0x23F 0b1000111111  1215 0x4BF 0b10010111111  1855 0x73F 0b11100111111   2495 0x9BF 0b100110111111  3135 0xC3F 0b110000111111  3775 0xEBF 0b111010111111
576 0x240 0b1001000000  1216 0x4C0 0b10011000000  1856 0x740 0b11101000000   2496 0x9C0 0b100111000000  3136 0xC40 0b110001000000  3776 0xEC0 0b111011000000
577 0x241 0b1001000001  1217 0x4C1 0b10011000001  1857 0x741 0b11101000001   2497 0x9C1 0b100111000001  3137 0xC41 0b110001000001  3777 0xEC1 0b111011000001
578 0x242 0b1001000010  1218 0x4C2 0b10011000010  1858 0x742 0b11101000010   2498 0x9C2 0b100111000010  3138 0xC42 0b110001000010  3778 0xEC2 0b111011000010
579 0x243 0b1001000011  1219 0x4C3 0b10011000011  1859 0x743 0b11101000011   2499 0x9C3 0b100111000011  3139 0xC43 0b110001000011  3779 0xEC3 0b111011000011
580 0x244 0b1001000100  1220 0x4C4 0b10011000100  1860 0x744 0b11101000100   2500 0x9C4 0b100111000100  3140 0xC44 0b110001000100  3780 0xEC4 0b111011000100
581 0x245 0b1001000101  1221 0x4C5 0b10011000101  1861 0x745 0b11101000101   2501 0x9C5 0b100111000101  3141 0xC45 0b110001000101  3781 0xEC5 0b111011000101
582 0x246 0b1001000110  1222 0x4C6 0b10011000110  1862 0x746 0b11101000110   2502 0x9C6 0b100111000110  3142 0xC46 0b110001000110  3782 0xEC6 0b111011000110
583 0x247 0b1001000111  1223 0x4C7 0b10011000111  1863 0x747 0b11101000111   2503 0x9C7 0b100111000111  3143 0xC47 0b110001000111  3783 0xEC7 0b111011000111
584 0x248 0b1001001000  1224 0x4C8 0b10011001000  1864 0x748 0b11101001000   2504 0x9C8 0b100111001000  3144 0xC48 0b110001001000  3784 0xEC8 0b111011001000
585 0x249 0b1001001001  1225 0x4C9 0b10011001001  1865 0x749 0b11101001001   2505 0x9C9 0b100111001001  3145 0xC49 0b110001001001  3785 0xEC9 0b111011001001
586 0x24A 0b1001001010  1226 0x4CA 0b10011001010  1866 0x74A 0b11101001010   2506 0x9CA 0b100111001010  3146 0xC4A 0b110001001010  3786 0xECA 0b111011001010
587 0x24B 0b1001001011  1227 0x4CB 0b10011001011  1867 0x74B 0b11101001011   2507 0x9CB 0b100111001011  3147 0xC4B 0b110001001011  3787 0xECB 0b111011001011
588 0x24C 0b1001001100  1228 0x4CC 0b10011001100  1868 0x74C 0b11101001100   2508 0x9CC 0b100111001100  3148 0xC4C 0b110001001100  3788 0xECC 0b111011001100
589 0x24D 0b1001001101  1229 0x4CD 0b10011001101  1869 0x74D 0b11101001101   2509 0x9CD 0b100111001101  3149 0xC4D 0b110001001101  3789 0xECD 0b111011001101
590 0x24E 0b1001001110  1230 0x4CE 0b10011001110  1870 0x74E 0b11101001110   2510 0x9CE 0b100111001110  3150 0xC4E 0b110001001110  3790 0xECE 0b111011001110
591 0x24F 0b1001001111  1231 0x4CF 0b10011001111  1871 0x74F 0b11101001111   2511 0x9CF 0b100111001111  3151 0xC4F 0b110001001111  3791 0xECF 0b111011001111
592 0x250 0b1001010000  1232 0x4D0 0b10011010000  1872 0x750 0b11101010000   2512 0x9D0 0b100111010000  3152 0xC50 0b110001010000  3792 0xED0 0b111011010000
593 0x251 0b1001010001  1233 0x4D1 0b10011010001  1873 0x751 0b11101010001   2513 0x9D1 0b100111010001  3153 0xC51 0b110001010001  3793 0xED1 0b111011010001
594 0x252 0b1001010010  1234 0x4D2 0b10011010010  1874 0x752 0b11101010010   2514 0x9D2 0b100111010010  3154 0xC52 0b110001010010  3794 0xED2 0b111011010010
595 0x253 0b1001010011  1235 0x4D3 0b10011010011  1875 0x753 0b11101010011   2515 0x9D3 0b100111010011  3155 0xC53 0b110001010011  3795 0xED3 0b111011010011
596 0x254 0b1001010100  1236 0x4D4 0b10011010100  1876 0x754 0b11101010100   2516 0x9D4 0b100111010100  3156 0xC54 0b110001010100  3796 0xED4 0b111011010100
597 0x255 0b1001010101  1237 0x4D5 0b10011010101  1877 0x755 0b11101010101   2517 0x9D5 0b100111010101  3157 0xC55 0b110001010101  3797 0xED5 0b111011010101
598 0x256 0b1001010110  1238 0x4D6 0b10011010110  1878 0x756 0b11101010110   2518 0x9D6 0b100111010110  3158 0xC56 0b110001010110  3798 0xED6 0b111011010110
599 0x257 0b1001010111  1239 0x4D7 0b10011010111  1879 0x757 0b11101010111   2519 0x9D7 0b100111010111  3159 0xC57 0b110001010111  3799 0xED7 0b111011010111
600 0x258 0b1001011000  1240 0x4D8 0b10011011000  1880 0x758 0b11101011000   2520 0x9D8 0b100111011000  3160 0xC58 0b110001011000  3800 0xED8 0b111011011000
601 0x259 0b1001011001  1241 0x4D9 0b10011011001  1881 0x759 0b11101011001   2521 0x9D9 0b100111011001  3161 0xC59 0b110001011001  3801 0xED9 0b111011011001
602 0x25A 0b1001011010  1242 0x4DA 0b10011011010  1882 0x75A 0b11101011010   2522 0x9DA 0b100111011010  3162 0xC5A 0b110001011010  3802 0xEDA 0b111011011010
603 0x25B 0b1001011011  1243 0x4DB 0b10011011011  1883 0x75B 0b11101011011   2523 0x9DB 0b100111011011  3163 0xC5B 0b110001011011  3803 0xEDB 0b111011011011
604 0x25C 0b1001011100  1244 0x4DC 0b10011011100  1884 0x75C 0b11101011100   2524 0x9DC 0b100111011100  3164 0xC5C 0b110001011100  3804 0xEDC 0b111011011100
605 0x25D 0b1001011101  1245 0x4DD 0b10011011101  1885 0x75D 0b11101011101   2525 0x9DD 0b100111011101  3165 0xC5D 0b110001011101  3805 0xEDD 0b111011011101
606 0x25E 0b1001011110  1246 0x4DE 0b10011011110  1886 0x75E 0b11101011110   2526 0x9DE 0b100111011110  3166 0xC5E 0b110001011110  3806 0xEDE 0b111011011110
607 0x25F 0b1001011111  1247 0x4DF 0b10011011111  1887 0x75F 0b11101011111   2527 0x9DF 0b100111011111  3167 0xC5F 0b110001011111  3807 0xEDF 0b111011011111
608 0x260 0b1001100000  1248 0x4E0 0b10011100000  1888 0x760 0b11101100000   2528 0x9E0 0b100111100000  3168 0xC60 0b110001100000  3808 0xEE0 0b111011100000
609 0x261 0b1001100001  1249 0x4E1 0b10011100001  1889 0x761 0b11101100001   2529 0x9E1 0b100111100001  3169 0xC61 0b110001100001  3809 0xEE1 0b111011100001
610 0x262 0b1001100010  1250 0x4E2 0b10011100010  1890 0x762 0b11101100010   2530 0x9E2 0b100111100010  3170 0xC62 0b110001100010  3810 0xEE2 0b111011100010
611 0x263 0b1001100011  1251 0x4E3 0b10011100011  1891 0x763 0b11101100011   2531 0x9E3 0b100111100011  3171 0xC63 0b110001100011  3811 0xEE3 0b111011100011
612 0x264 0b1001100100  1252 0x4E4 0b10011100100  1892 0x764 0b11101100100   2532 0x9E4 0b100111100100  3172 0xC64 0b110001100100  3812 0xEE4 0b111011100100
613 0x265 0b1001100101  1253 0x4E5 0b10011100101  1893 0x765 0b11101100101   2533 0x9E5 0b100111100101  3173 0xC65 0b110001100101  3813 0xEE5 0b111011100101
614 0x266 0b1001100110  1254 0x4E6 0b10011100110  1894 0x766 0b11101100110   2534 0x9E6 0b100111100110  3174 0xC66 0b110001100110  3814 0xEE6 0b111011100110
615 0x267 0b1001100111  1255 0x4E7 0b10011100111  1895 0x767 0b11101100111   2535 0x9E7 0b100111100111  3175 0xC67 0b110001100111  3815 0xEE7 0b111011100111
616 0x268 0b1001101000  1256 0x4E8 0b10011101000  1896 0x768 0b11101101000   2536 0x9E8 0b100111101000  3176 0xC68 0b110001101000  3816 0xEE8 0b111011101000
617 0x269 0b1001101001  1257 0x4E9 0b10011101001  1897 0x769 0b11101101001   2537 0x9E9 0b100111101001  3177 0xC69 0b110001101001  3817 0xEE9 0b111011101001
618 0x26A 0b1001101010  1258 0x4EA 0b10011101010  1898 0x76A 0b11101101010   2538 0x9EA 0b100111101010  3178 0xC6A 0b110001101010  3818 0xEEA 0b111011101010
619 0x26B 0b1001101011  1259 0x4EB 0b10011101011  1899 0x76B 0b11101101011   2539 0x9EB 0b100111101011  3179 0xC6B 0b110001101011  3819 0xEEB 0b111011101011
620 0x26C 0b1001101100  1260 0x4EC 0b10011101100  1900 0x76C 0b11101101100   2540 0x9EC 0b100111101100  3180 0xC6C 0b110001101100  3820 0xEEC 0b111011101100
621 0x26D 0b1001101101  1261 0x4ED 0b10011101101  1901 0x76D 0b11101101101   2541 0x9ED 0b100111101101  3181 0xC6D 0b110001101101  3821 0xEED 0b111011101101
622 0x26E 0b1001101110  1262 0x4EE 0b10011101110  1902 0x76E 0b11101101110   2542 0x9EE 0b100111101110  3182 0xC6E 0b110001101110  3822 0xEEE 0b111011101110
623 0x26F 0b1001101111  1263 0x4EF 0b10011101111  1903 0x76F 0b11101101111   2543 0x9EF 0b100111101111  3183 0xC6F 0b110001101111  3823 0xEEF 0b111011101111
624 0x270 0b1001110000  1264 0x4F0 0b10011110000  1904 0x770 0b11101110000   2544 0x9F0 0b100111110000  3184 0xC70 0b110001110000  3824 0xEF0 0b111011110000
625 0x271 0b1001110001  1265 0x4F1 0b10011110001  1905 0x771 0b11101110001   2545 0x9F1 0b100111110001  3185 0xC71 0b110001110001  3825 0xEF1 0b111011110001
626 0x272 0b1001110010  1266 0x4F2 0b10011110010  1906 0x772 0b11101110010   2546 0x9F2 0b100111110010  3186 0xC72 0b110001110010  3826 0xEF2 0b111011110010
627 0x273 0b1001110011  1267 0x4F3 0b10011110011  1907 0x773 0b11101110011   2547 0x9F3 0b100111110011  3187 0xC73 0b110001110011  3827 0xEF3 0b111011110011
628 0x274 0b1001110100  1268 0x4F4 0b10011110100  1908 0x774 0b11101110100   2548 0x9F4 0b100111110100  3188 0xC74 0b110001110100  3828 0xEF4 0b111011110100
629 0x275 0b1001110101  1269 0x4F5 0b10011110101  1909 0x775 0b11101110101   2549 0x9F5 0b100111110101  3189 0xC75 0b110001110101  3829 0xEF5 0b111011110101
630 0x276 0b1001110110  1270 0x4F6 0b10011110110  1910 0x776 0b11101110110   2550 0x9F6 0b100111110110  3190 0xC76 0b110001110110  3830 0xEF6 0b111011110110
631 0x277 0b1001110111  1271 0x4F7 0b10011110111  1911 0x777 0b11101110111   2551 0x9F7 0b100111110111  3191 0xC77 0b110001110111  3831 0xEF7 0b111011110111
632 0x278 0b1001111000  1272 0x4F8 0b10011111000  1912 0x778 0b11101111000   2552 0x9F8 0b100111111000  3192 0xC78 0b110001111000  3832 0xEF8 0b111011111000
633 0x279 0b1001111001  1273 0x4F9 0b10011111001  1913 0x779 0b11101111001   2553 0x9F9 0b100111111001  3193 0xC79 0b110001111001  3833 0xEF9 0b111011111001
634 0x27A 0b1001111010  1274 0x4FA 0b10011111010  1914 0x77A 0b11101111010   2554 0x9FA 0b100111111010  3194 0xC7A 0b110001111010  3834 0xEFA 0b111011111010
635 0x27B 0b1001111011  1275 0x4FB 0b10011111011  1915 0x77B 0b11101111011   2555 0x9FB 0b100111111011  3195 0xC7B 0b110001111011  3835 0xEFB 0b111011111011
636 0x27C 0b1001111100  1276 0x4FC 0b10011111100  1916 0x77C 0b11101111100   2556 0x9FC 0b100111111100  3196 0xC7C 0b110001111100  3836 0xEFC 0b111011111100
637 0x27D 0b1001111101  1277 0x4FD 0b10011111101  1917 0x77D 0b11101111101   2557 0x9FD 0b100111111101  3197 0xC7D 0b110001111101  3837 0xEFD 0b111011111101
638 0x27E 0b1001111110  1278 0x4FE 0b10011111110  1918 0x77E 0b11101111110   2558 0x9FE 0b100111111110  3198 0xC7E 0b110001111110  3838 0xEFE 0b111011111110
639 0x27F 0b1001111111  1279 0x4FF 0b10011111111  1919 0x77F 0b11101111111   2559 0x9FF 0b100111111111  3199 0xC7F 0b110001111111  3839 0xEFF 0b111011111111
640 0x280 0b1010000000  1280 0x500 0b10100000000  1920 0x780 0b11110000000   2560 0xA00 0b101000000000  3200 0xC80 0b110010000000  3840 0xF00 0b111100000000
641 0x281 0b1010000001  1281 0x501 0b10100000001  1921 0x781 0b11110000001   2561 0xA01 0b101000000001  3201 0xC81 0b110010000001  3841 0xF01 0b111100000001
642 0x282 0b1010000010  1282 0x502 0b10100000010  1922 0x782 0b11110000010   2562 0xA02 0b101000000010  3202 0xC82 0b110010000010  3842 0xF02 0b111100000010
643 0x283 0b1010000011  1283 0x503 0b10100000011  1923 0x783 0b11110000011   2563 0xA03 0b101000000011  3203 0xC83 0b110010000011  3843 0xF03 0b111100000011
644 0x284 0b1010000100  1284 0x504 0b10100000100  1924 0x784 0b11110000100   2564 0xA04 0b101000000100  3204 0xC84 0b110010000100  3844 0xF04 0b111100000100
645 0x285 0b1010000101  1285 0x505 0b10100000101  1925 0x785 0b11110000101   2565 0xA05 0b101000000101  3205 0xC85 0b110010000101  3845 0xF05 0b111100000101
646 0x286 0b1010000110  1286 0x506 0b10100000110  1926 0x786 0b11110000110   2566 0xA06 0b101000000110  3206 0xC86 0b110010000110  3846 0xF06 0b111100000110
647 0x287 0b1010000111  1287 0x507 0b10100000111  1927 0x787 0b11110000111   2567 0xA07 0b101000000111  3207 0xC87 0b110010000111  3847 0xF07 0b111100000111
648 0x288 0b1010001000  1288 0x508 0b10100001000  1928 0x788 0b11110001000   2568 0xA08 0b101000001000  3208 0xC88 0b110010001000  3848 0xF08 0b111100001000
649 0x289 0b1010001001  1289 0x509 0b10100001001  1929 0x789 0b11110001001   2569 0xA09 0b101000001001  3209 0xC89 0b110010001001  3849 0xF09 0b111100001001
650 0x28A 0b1010001010  1290 0x50A 0b10100001010  1930 0x78A 0b11110001010   2570 0xA0A 0b101000001010  3210 0xC8A 0b110010001010  3850 0xF0A 0b111100001010
651 0x28B 0b1010001011  1291 0x50B 0b10100001011  1931 0x78B 0b11110001011   2571 0xA0B 0b101000001011  3211 0xC8B 0b110010001011  3851 0xF0B 0b111100001011
652 0x28C 0b1010001100  1292 0x50C 0b10100001100  1932 0x78C 0b11110001100   2572 0xA0C 0b101000001100  3212 0xC8C 0b110010001100  3852 0xF0C 0b111100001100
653 0x28D 0b1010001101  1293 0x50D 0b10100001101  1933 0x78D 0b11110001101   2573 0xA0D 0b101000001101  3213 0xC8D 0b110010001101  3853 0xF0D 0b111100001101
654 0x28E 0b1010001110  1294 0x50E 0b10100001110  1934 0x78E 0b11110001110   2574 0xA0E 0b101000001110  3214 0xC8E 0b110010001110  3854 0xF0E 0b111100001110
655 0x28F 0b1010001111  1295 0x50F 0b10100001111  1935 0x78F 0b11110001111   2575 0xA0F 0b101000001111  3215 0xC8F 0b110010001111  3855 0xF0F 0b111100001111
656 0x290 0b1010010000  1296 0x510 0b10100010000  1936 0x790 0b11110010000   2576 0xA10 0b101000010000  3216 0xC90 0b110010010000  3856 0xF10 0b111100010000
657 0x291 0b1010010001  1297 0x511 0b10100010001  1937 0x791 0b11110010001   2577 0xA11 0b101000010001  3217 0xC91 0b110010010001  3857 0xF11 0b111100010001
658 0x292 0b1010010010  1298 0x512 0b10100010010  1938 0x792 0b11110010010   2578 0xA12 0b101000010010  3218 0xC92 0b110010010010  3858 0xF12 0b111100010010
659 0x293 0b1010010011  1299 0x513 0b10100010011  1939 0x793 0b11110010011   2579 0xA13 0b101000010011  3219 0xC93 0b110010010011  3859 0xF13 0b111100010011
660 0x294 0b1010010100  1300 0x514 0b10100010100  1940 0x794 0b11110010100   2580 0xA14 0b101000010100  3220 0xC94 0b110010010100  3860 0xF14 0b111100010100
661 0x295 0b1010010101  1301 0x515 0b10100010101  1941 0x795 0b11110010101   2581 0xA15 0b101000010101  3221 0xC95 0b110010010101  3861 0xF15 0b111100010101
662 0x296 0b1010010110  1302 0x516 0b10100010110  1942 0x796 0b11110010110   2582 0xA16 0b101000010110  3222 0xC96 0b110010010110  3862 0xF16 0b111100010110
663 0x297 0b1010010111  1303 0x517 0b10100010111  1943 0x797 0b11110010111   2583 0xA17 0b101000010111  3223 0xC97 0b110010010111  3863 0xF17 0b111100010111
664 0x298 0b1010011000  1304 0x518 0b10100011000  1944 0x798 0b11110011000   2584 0xA18 0b101000011000  3224 0xC98 0b110010011000  3864 0xF18 0b111100011000
665 0x299 0b1010011001  1305 0x519 0b10100011001  1945 0x799 0b11110011001   2585 0xA19 0b101000011001  3225 0xC99 0b110010011001  3865 0xF19 0b111100011001
666 0x29A 0b1010011010  1306 0x51A 0b10100011010  1946 0x79A 0b11110011010   2586 0xA1A 0b101000011010  3226 0xC9A 0b110010011010  3866 0xF1A 0b111100011010
667 0x29B 0b1010011011  1307 0x51B 0b10100011011  1947 0x79B 0b11110011011   2587 0xA1B 0b101000011011  3227 0xC9B 0b110010011011  3867 0xF1B 0b111100011011
668 0x29C 0b1010011100  1308 0x51C 0b10100011100  1948 0x79C 0b11110011100   2588 0xA1C 0b101000011100  3228 0xC9C 0b110010011100  3868 0xF1C 0b111100011100
669 0x29D 0b1010011101  1309 0x51D 0b10100011101  1949 0x79D 0b11110011101   2589 0xA1D 0b101000011101  3229 0xC9D 0b110010011101  3869 0xF1D 0b111100011101
670 0x29E 0b1010011110  1310 0x51E 0b10100011110  1950 0x79E 0b11110011110   2590 0xA1E 0b101000011110  3230 0xC9E 0b110010011110  3870 0xF1E 0b111100011110
671 0x29F 0b1010011111  1311 0x51F 0b10100011111  1951 0x79F 0b11110011111   2591 0xA1F 0b101000011111  3231 0xC9F 0b110010011111  3871 0xF1F 0b111100011111
672 0x2A0 0b1010100000  1312 0x520 0b10100100000  1952 0x7A0 0b11110100000   2592 0xA20 0b101000100000  3232 0xCA0 0b110010100000  3872 0xF20 0b111100100000
673 0x2A1 0b1010100001  1313 0x521 0b10100100001  1953 0x7A1 0b11110100001   2593 0xA21 0b101000100001  3233 0xCA1 0b110010100001  3873 0xF21 0b111100100001
674 0x2A2 0b1010100010  1314 0x522 0b10100100010  1954 0x7A2 0b11110100010   2594 0xA22 0b101000100010  3234 0xCA2 0b110010100010  3874 0xF22 0b111100100010
675 0x2A3 0b1010100011  1315 0x523 0b10100100011  1955 0x7A3 0b11110100011   2595 0xA23 0b101000100011  3235 0xCA3 0b110010100011  3875 0xF23 0b111100100011
676 0x2A4 0b1010100100  1316 0x524 0b10100100100  1956 0x7A4 0b11110100100   2596 0xA24 0b101000100100  3236 0xCA4 0b110010100100  3876 0xF24 0b111100100100
677 0x2A5 0b1010100101  1317 0x525 0b10100100101  1957 0x7A5 0b11110100101   2597 0xA25 0b101000100101  3237 0xCA5 0b110010100101  3877 0xF25 0b111100100101
678 0x2A6 0b1010100110  1318 0x526 0b10100100110  1958 0x7A6 0b11110100110   2598 0xA26 0b101000100110  3238 0xCA6 0b110010100110  3878 0xF26 0b111100100110
679 0x2A7 0b1010100111  1319 0x527 0b10100100111  1959 0x7A7 0b11110100111   2599 0xA27 0b101000100111  3239 0xCA7 0b110010100111  3879 0xF27 0b111100100111
680 0x2A8 0b1010101000  1320 0x528 0b10100101000  1960 0x7A8 0b11110101000   2600 0xA28 0b101000101000  3240 0xCA8 0b110010101000  3880 0xF28 0b111100101000
681 0x2A9 0b1010101001  1321 0x529 0b10100101001  1961 0x7A9 0b11110101001   2601 0xA29 0b101000101001  3241 0xCA9 0b110010101001  3881 0xF29 0b111100101001
682 0x2AA 0b1010101010  1322 0x52A 0b10100101010  1962 0x7AA 0b11110101010   2602 0xA2A 0b101000101010  3242 0xCAA 0b110010101010  3882 0xF2A 0b111100101010
683 0x2AB 0b1010101011  1323 0x52B 0b10100101011  1963 0x7AB 0b11110101011   2603 0xA2B 0b101000101011  3243 0xCAB 0b110010101011  3883 0xF2B 0b111100101011
684 0x2AC 0b1010101100  1324 0x52C 0b10100101100  1964 0x7AC 0b11110101100   2604 0xA2C 0b101000101100  3244 0xCAC 0b110010101100  3884 0xF2C 0b111100101100
685 0x2AD 0b1010101101  1325 0x52D 0b10100101101  1965 0x7AD 0b11110101101   2605 0xA2D 0b101000101101  3245 0xCAD 0b110010101101  3885 0xF2D 0b111100101101
686 0x2AE 0b1010101110  1326 0x52E 0b10100101110  1966 0x7AE 0b11110101110   2606 0xA2E 0b101000101110  3246 0xCAE 0b110010101110  3886 0xF2E 0b111100101110
687 0x2AF 0b1010101111  1327 0x52F 0b10100101111  1967 0x7AF 0b11110101111   2607 0xA2F 0b101000101111  3247 0xCAF 0b110010101111  3887 0xF2F 0b111100101111
688 0x2B0 0b1010110000  1328 0x530 0b10100110000  1968 0x7B0 0b11110110000   2608 0xA30 0b101000110000  3248 0xCB0 0b110010110000  3888 0xF30 0b111100110000
689 0x2B1 0b1010110001  1329 0x531 0b10100110001  1969 0x7B1 0b11110110001   2609 0xA31 0b101000110001  3249 0xCB1 0b110010110001  3889 0xF31 0b111100110001
690 0x2B2 0b1010110010  1330 0x532 0b10100110010  1970 0x7B2 0b11110110010   2610 0xA32 0b101000110010  3250 0xCB2 0b110010110010  3890 0xF32 0b111100110010
691 0x2B3 0b1010110011  1331 0x533 0b10100110011  1971 0x7B3 0b11110110011   2611 0xA33 0b101000110011  3251 0xCB3 0b110010110011  3891 0xF33 0b111100110011
692 0x2B4 0b1010110100  1332 0x534 0b10100110100  1972 0x7B4 0b11110110100   2612 0xA34 0b101000110100  3252 0xCB4 0b110010110100  3892 0xF34 0b111100110100
693 0x2B5 0b1010110101  1333 0x535 0b10100110101  1973 0x7B5 0b11110110101   2613 0xA35 0b101000110101  3253 0xCB5 0b110010110101  3893 0xF35 0b111100110101
694 0x2B6 0b1010110110  1334 0x536 0b10100110110  1974 0x7B6 0b11110110110   2614 0xA36 0b101000110110  3254 0xCB6 0b110010110110  3894 0xF36 0b111100110110
695 0x2B7 0b1010110111  1335 0x537 0b10100110111  1975 0x7B7 0b11110110111   2615 0xA37 0b101000110111  3255 0xCB7 0b110010110111  3895 0xF37 0b111100110111
696 0x2B8 0b1010111000  1336 0x538 0b10100111000  1976 0x7B8 0b11110111000   2616 0xA38 0b101000111000  3256 0xCB8 0b110010111000  3896 0xF38 0b111100111000
697 0x2B9 0b1010111001  1337 0x539 0b10100111001  1977 0x7B9 0b11110111001   2617 0xA39 0b101000111001  3257 0xCB9 0b110010111001  3897 0xF39 0b111100111001
698 0x2BA 0b1010111010  1338 0x53A 0b10100111010  1978 0x7BA 0b11110111010   2618 0xA3A 0b101000111010  3258 0xCBA 0b110010111010  3898 0xF3A 0b111100111010
699 0x2BB 0b1010111011  1339 0x53B 0b10100111011  1979 0x7BB 0b11110111011   2619 0xA3B 0b101000111011  3259 0xCBB 0b110010111011  3899 0xF3B 0b111100111011
700 0x2BC 0b1010111100  1340 0x53C 0b10100111100  1980 0x7BC 0b11110111100   2620 0xA3C 0b101000111100  3260 0xCBC 0b110010111100  3900 0xF3C 0b111100111100
701 0x2BD 0b1010111101  1341 0x53D 0b10100111101  1981 0x7BD 0b11110111101   2621 0xA3D 0b101000111101  3261 0xCBD 0b110010111101  3901 0xF3D 0b111100111101
702 0x2BE 0b1010111110  1342 0x53E 0b10100111110  1982 0x7BE 0b11110111110   2622 0xA3E 0b101000111110  3262 0xCBE 0b110010111110  3902 0xF3E 0b111100111110
703 0x2BF 0b1010111111  1343 0x53F 0b10100111111  1983 0x7BF 0b11110111111   2623 0xA3F 0b101000111111  3263 0xCBF 0b110010111111  3903 0xF3F 0b111100111111
704 0x2C0 0b1011000000  1344 0x540 0b10101000000  1984 0x7C0 0b11111000000   2624 0xA40 0b101001000000  3264 0xCC0 0b110011000000  3904 0xF40 0b111101000000
705 0x2C1 0b1011000001  1345 0x541 0b10101000001  1985 0x7C1 0b11111000001   2625 0xA41 0b101001000001  3265 0xCC1 0b110011000001  3905 0xF41 0b111101000001
706 0x2C2 0b1011000010  1346 0x542 0b10101000010  1986 0x7C2 0b11111000010   2626 0xA42 0b101001000010  3266 0xCC2 0b110011000010  3906 0xF42 0b111101000010
707 0x2C3 0b1011000011  1347 0x543 0b10101000011  1987 0x7C3 0b11111000011   2627 0xA43 0b101001000011  3267 0xCC3 0b110011000011  3907 0xF43 0b111101000011
708 0x2C4 0b1011000100  1348 0x544 0b10101000100  1988 0x7C4 0b11111000100   2628 0xA44 0b101001000100  3268 0xCC4 0b110011000100  3908 0xF44 0b111101000100
709 0x2C5 0b1011000101  1349 0x545 0b10101000101  1989 0x7C5 0b11111000101   2629 0xA45 0b101001000101  3269 0xCC5 0b110011000101  3909 0xF45 0b111101000101
710 0x2C6 0b1011000110  1350 0x546 0b10101000110  1990 0x7C6 0b11111000110   2630 0xA46 0b101001000110  3270 0xCC6 0b110011000110  3910 0xF46 0b111101000110
711 0x2C7 0b1011000111  1351 0x547 0b10101000111  1991 0x7C7 0b11111000111   2631 0xA47 0b101001000111  3271 0xCC7 0b110011000111  3911 0xF47 0b111101000111
712 0x2C8 0b1011001000  1352 0x548 0b10101001000  1992 0x7C8 0b11111001000   2632 0xA48 0b101001001000  3272 0xCC8 0b110011001000  3912 0xF48 0b111101001000
713 0x2C9 0b1011001001  1353 0x549 0b10101001001  1993 0x7C9 0b11111001001   2633 0xA49 0b101001001001  3273 0xCC9 0b110011001001  3913 0xF49 0b111101001001
714 0x2CA 0b1011001010  1354 0x54A 0b10101001010  1994 0x7CA 0b11111001010   2634 0xA4A 0b101001001010  3274 0xCCA 0b110011001010  3914 0xF4A 0b111101001010
