255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
305 0x131 0b100110001   945 0x3B1 0b1110110001    1585 0x631 0b11000110001   2225 0x8B1 0b100010110001  2865 0xB31 0b101100110001  3505 0xDB1 0b110110110001
306 0x132 0b100110010   946 0x3B2 0b1110110010    1586 0x632 0b11000110010   2226 0x8B2 0b100010110010  2866 0xB32 0b101100110010  3506 0xDB2 0b110110110010
307 0x133 0b100110011   947 0x3B3 0b1110110011    1587 0x633 0b11000110011   2227 0x8B3 0b100010110011  2867 0xB33 0b101100110011  3507 0xDB3 0b110110110011
308 0x134 0b100110100   948 0x3B4 0b1110110100    1588 0x634 0b11000110100   2228 0x8B4 0b100010110100  2868 0xB34 0b101100110100  3508 0xDB4 0b110110110100
309 0x135 0b100110101   949 0x3B5 0b1110110101    1589 0x635 0b11000110101   2229 0x8B5 0b100010110101  2869 0xB35 0b101100110101  3509 0xDB5 0b110110110101
310 0x136 0b100110110   950 0x3B6 0b1110110110    1590 0x636 0b11000110110   2230 0x8B6 0b100010110110  2870 0xB36 0b101100110110  3510 0xDB6 0b110110110110
311 0x137 0b100110111   951 0x3B7 0b1110110111    1591 0x637 0b11000110111   2231 0x8B7 0b100010110111  2871 0xB37 0b101100110111  3511 0xDB7 0b110110110111
312 0x138 0b100111000   952 0x3B8 0b1110111000    1592 0x638 0b11000111000   2232 0x8B8 0b100010111000  2872 0xB38 0b101100111000  3512 0xDB8 0b110110111000
313 0x139 0b100111001   953 0x3B9 0b1110111001    1593 0x639 0b11000111001   2233 0x8B9 0b100010111001  2873 0xB39 0b101100111001  3513 0xDB9 0b110110111001
314 0x13A 0b100111010   954 0x3BA 0b1110111010    1594 0x63A 0b11000111010   2234 0x8BA 0b100010111010  2874 0xB3A 0b101100111010  3514 0xDBA 0b110110111010
315 0x13B 0b100111011   955 0x3BB 0b1110111011    1595 0x63B 0b11000111011   2235 0x8BB 0b100010111011  2875 0xB3B 0b101100111011  3515 0xDBB 0b110110111011
316 0x13C 0b100111100   956 0x3BC 0b1110111100    1596 0x63C 0b11000111100   2236 0x8BC 0b100010111100  2876 0xB3C 0b101100111100  3516 0xDBC 0b110110111100
317 0x13D 0b100111101   957 0x3BD 0b1110111101    1597 0x63D 0b11000111101   2237 0x8BD 0b100010111101  2877 0xB3D 0b101100111101  3517 0xDBD 0b110110111101
318 0x13E 0b100111110   958 0x3BE 0b1110111110    1598 0x63E 0b11000111110   2238 0x8BE 0b100010111110  2878 0xB3E 0b101100111110  3518 0xDBE 0b110110111110
319 0x13F 0b100111111   959 0x3BF 0b1110111111    1599 0x63F 0b11000111111   2239 0x8BF 0b100010111111  2879 0xB3F 0b101100111111  3519 0xDBF 0b110110111111
320 0x140 0b101000000   960 0x3C0 0b1111000000    1600 0x640 0b11001000000   2240 0x8C0 0b100011000000  2880 0xB40 0b101101000000  3520 0xDC0 0b110111000000
321 0x141 0b101000001   961 0x3C1 0b1111000001    1601 0x641 0b11001000001   2241 0x8C1 0b100011000001  2881 0xB41 0b101101000001  3521 0xDC1 0b110111000001
322 0x142 0b101000010   962 0x3C2 0b1111000010    1602 0x642 0b11001000010   2242 0x8C2 0b100011000010  2882 0xB42 0b101101000010  3522 0xDC2 0b110111000010
323 0x143 0b101000011   963 0x3C3 0b1111000011    1603 0x643 0b11001000011   2243 0x8C3 0b100011000011  2883 0xB43 0b101101000011  3523 0xDC3 0b110111000011
324 0x144 0b101000100   964 0x3C4 0b1111000100    1604 0x644 0b11001000100   2244 0x8C4 0b100011000100  2884 0xB44 0b101101000100  3524 0xDC4 0b110111000100
325 0x145 0b101000101   965 0x3C5 0b1111000101    1605 0x645 0b11001000101   2245 0x8C5 0b100011000101  2885 0xB45 0b101101000101  3525 0xDC5 0b110111000101
326 0x146 0b101000110   966 0x3C6 0b1111000110    1606 0x646 0b11001000110   2246 0x8C6 0b100011000110  2886 0xB46 0b101101000110  3526 0xDC6 0b110111000110
327 0x147 0b101000111   967 0x3C7 0b1111000111    1607 0x647 0b11001000111   2247 0x8C7 0b100011000111  2887 0xB47 0b101101000111  3527 0xDC7 0b110111000111
328 0x148 0b101001000   968 0x3C8 0b1111001000    1608 0x648 0b11001001000   2248 0x8C8 0b100011001000  2888 0xB48 0b101101001000  3528 0xDC8 0b110111001000
329 0x149 0b101001001   969 0x3C9 0b1111001001    1609 0x649 0b11001001001   2249 0x8C9 0b100011001001  2889 0xB49 0b101101001001  3529 0xDC9 0b110111001001
330 0x14A 0b101001010   970 0x3CA 0b1111001010    1610 0x64A 0b11001001010   2250 0x8CA 0b100011001010  2890 0xB4A 0b101101001010  3530 0xDCA 0b110111001010
331 0x14B 0b101001011   971 0x3CB 0b1111001011    1611 0x64B 0b11001001011   2251 0x8CB 0b100011001011  2891 0xB4B 0b101101001011  3531 0xDCB 0b110111001011
332 0x14C 0b101001100   972 0x3CC 0b1111001100    1612 0x64C 0b11001001100   2252 0x8CC 0b100011001100  2892 0xB4C 0b101101001100  3532 0xDCC 0b110111001100
333 0x14D 0b101001101   973 0x3CD 0b1111001101    1613 0x64D 0b11001001101   2253 0x8CD 0b100011001101  2893 0xB4D 0b101101001101  3533 0xDCD 0b110111001101
334 0x14E 0b101001110   974 0x3CE 0b1111001110    1614 0x64E 0b11001001110   2254 0x8CE 0b100011001110  2894 0xB4E 0b101101001110  3534 0xDCE 0b110111001110
335 0x14F 0b101001111   975 0x3CF 0b1111001111    1615 0x64F 0b11001001111   2255 0x8CF 0b100011001111  2895 0xB4F 0b101101001111  3535 0xDCF 0b110111001111
336 0x150 0b101010000   976 0x3D0 0b1111010000    1616 0x650 0b11001010000   2256 0x8D0 0b100011010000  2896 0xB50 0b101101010000  3536 0xDD0 0b110111010000
337 0x151 0b101010001   977 0x3D1 0b1111010001    1617 0x651 0b11001010001   2257 0x8D1 0b100011010001  2897 0xB51 0b101101010001  3537 0xDD1 0b110111010001
338 0x152 0b101010010   978 0x3D2 0b1111010010    1618 0x652 0b11001010010   2258 0x8D2 0b100011010010  2898 0xB52 0b101101010010  3538 0xDD2 0b110111010010
339 0x153 0b101010011   979 0x3D3 0b1111010011    1619 0x653 0b11001010011   2259 0x8D3 0b100011010011  2899 0xB53 0b101101010011  3539 0xDD3 0b110111010011
340 0x154 0b101010100   980 0x3D4 0b1111010100    1620 0x654 0b11001010100   2260 0x8D4 0b100011010100  2900 0xB54 0b101101010100  3540 0xDD4 0b110111010100
341 0x155 0b101010101   981 0x3D5 0b1111010101    1621 0x655 0b11001010101   2261 0x8D5 0b100011010101  2901 0xB55 0b101101010101  3541 0xDD5 0b110111010101
342 0x156 0b101010110   982 0x3D6 0b1111010110    1622 0x656 0b11001010110   2262 0x8D6 0b100011010110  2902 0xB56 0b101101010110  3542 0xDD6 0b110111010110
343 0x157 0b101010111   983 0x3D7 0b1111010111    1623 0x657 0b11001010111   2263 0x8D7 0b100011010111  2903 0xB57 0b101101010111  3543 0xDD7 0b110111010111
344 0x158 0b101011000   984 0x3D8 0b1111011000    1624 0x658 0b11001011000   2264 0x8D8 0b100011011000  2904 0xB58 0b101101011000  3544 0xDD8 0b110111011000
345 0x159 0b101011001   985 0x3D9 0b1111011001    1625 0x659 0b11001011001   2265 0x8D9 0b100011011001  2905 0xB59 0b101101011001  3545 0xDD9 0b110111011001
346 0x15A 0b101011010   986 0x3DA 0b1111011010    1626 0x65A 0b11001011010   2266 0x8DA 0b100011011010  2906 0xB5A 0b101101011010  3546 0xDDA 0b110111011010
347 0x15B 0b101011011   987 0x3DB 0b1111011011    1627 0x65B 0b11001011011   2267 0x8DB 0b100011011011  2907 0xB5B 0b101101011011  3547 0xDDB 0b110111011011
348 0x15C 0b101011100   988 0x3DC 0b1111011100    1628 0x65C 0b11001011100   2268 0x8DC 0b100011011100  2908 0xB5C 0b101101011100  3548 0xDDC 0b110111011100
349 0x15D 0b101011101   989 0x3DD 0b1111011101    1629 0x65D 0b11001011101   2269 0x8DD 0b100011011101  2909 0xB5D 0b101101011101  3549 0xDDD 0b110111011101
350 0x15E 0b101011110   990 0x3DE 0b1111011110    1630 0x65E 0b11001011110   2270 0x8DE 0b100011011110  2910 0xB5E 0b101101011110  3550 0xDDE 0b110111011110
351 0x15F 0b101011111   991 0x3DF 0b1111011111    1631 0x65F 0b11001011111   2271 0x8DF 0b100011011111  2911 0xB5F 0b101101011111  3551 0xDDF 0b110111011111
352 0x160 0b101100000   992 0x3E0 0b1111100000    1632 0x660 0b11001100000   2272 0x8E0 0b100011100000  2912 0xB60 0b101101100000  3552 0xDE0 0b110111100000
353 0x161 0b101100001   993 0x3E1 0b1111100001    1633 0x661 0b11001100001   2273 0x8E1 0b100011100001  2913 0xB61 0b101101100001  3553 0xDE1 0b110111100001
354 0x162 0b101100010   994 0x3E2 0b1111100010    1634 0x662 0b11001100010   2274 0x8E2 0b100011100010  2914 0xB62 0b101101100010  3554 0xDE2 0b110111100010
355 0x163 0b101100011   995 0x3E3 0b1111100011    1635 0x663 0b11001100011   2275 0x8E3 0b100011100011  2915 0xB63 0b101101100011  3555 0xDE3 0b110111100011
356 0x164 0b101100100   996 0x3E4 0b1111100100    1636 0x664 0b11001100100   2276 0x8E4 0b100011100100  2916 0xB64 0b101101100100  3556 0xDE4 0b110111100100
